,max_P,min_P,max_Q,min_Q
右玉,99.44,-78.137,6.186000000000001,-19.420999999999996
向阳堡,183.28499999999994,64.06900000000003,67.62499999999997,1.345000000000001
翠微,59.395,-92.17900000000002,46.861,19.057
七里沟,226.41699999999994,101.00000000000001,75.51199999999997,7.617999999999999
水头,22.316999999999997,0.016000000000000028,2.703,-4.002000000000001
方城,184.76799999999997,90.72299999999994,21.224999999999998,-10.864999999999998
古渡,92.97500000000001,32.038000000000004,22.295000000000005,10.739999999999998
铺上,140.645,102.447,26.022000000000002,2.7009999999999996
安荣,106.59100000000001,73.292,38.709,11.545
吉庄,86.44,-39.497,35.128,1.6700000000000017
繁峙,318.486,229.365,72.56200000000001,37.54900000000001
